# Time-averaged data for fix aveForce
# TimeStep v_fcmx v_fcmy
250 0 0
500 0 0
750 0 0
1000 0 0
1250 0 0
1500 0 0
1750 0 0
2000 0 0
2250 0 0
2500 0 0
2750 0 0
3000 0 0
3250 0 0
3500 0 0
3750 0 0
4000 0 0
4250 0 0
4500 0 0
4750 0 0
5000 0 0
5250 0 0
5500 0 0
5750 0 0
6000 0 0
6250 0 0
6500 0 0
6750 0 0
7000 0 0
7250 0 0
7500 0 0
7750 0 0
8000 0 0
8250 0 0
8500 0 0
8750 0 0
9000 0 0
9250 0 0
9500 0 0
9750 0 0
10000 0 0
10250 -0.560739 -9.99622e-19
10500 -35.3992 1.71114e-16
10750 -282.643 -4.13808e-16
11000 -1119.8 2.33802e-15
11250 -3126.08 4.61409e-15
11500 -7080.64 -1.92273e-14
11750 -13958.2 -2.58638e-14
12000 -24920.4 6.09361e-14
12250 -41301.4 4.26326e-15
12500 -64587.2 1.19257e-13
12750 -96386.9 -1.72804e-13
13000 -138397 3.49019e-13
13250 -192359 -1.56888e-14
13500 -260010 -3.50155e-13
13750 -343034 2.15095e-13
14000 -443001 -1.21827e-12
14250 -561323 8.0172e-13
14500 -699199 2.86582e-12
14750 -857582 2.09729e-12
15000 -1.03714e+06 5.48334e-12
15250 -1.23825e+06 1.35515e-13
15500 -1.46096e+06 -5.50699e-12
15750 -1.70503e+06 1.6671e-12
16000 -1.96992e+06 -5.18412e-13
16250 -2.25482e+06 1.47575e-11
16500 -2.55866e+06 -5.96538e-12
16750 -2.88015e+06 1.28698e-11
17000 -3.21778e+06 -5.09622e-11
17250 -3.56988e+06 -7.00993e-13
17500 -3.93461e+06 -3.88472e-11
17750 -4.31e+06 -6.93387e-12
18000 -4.69401e+06 -5.87986e-11
18250 -5.08447e+06 -2.59056e-11
18500 -5.47917e+06 9.69101e-12
18750 -5.87585e+06 8.99895e-11
19000 -6.27224e+06 -4.87819e-11
19250 -6.6661e+06 1.57958e-10
19500 -7.0552e+06 2.77909e-11
19750 -7.43738e+06 -6.6168e-11
20000 -7.81051e+06 -6.81348e-12
20250 -8.17254e+06 7.27596e-14
20500 -8.52151e+06 -2.13713e-10
20750 -8.85553e+06 1.6486e-10
21000 -9.17283e+06 6.73026e-14
21250 -9.47176e+06 5.1079e-11
21500 -9.75083e+06 6.14746e-11
21750 -1.00086e+07 -7.39965e-12
22000 -1.02439e+07 3.01407e-12
22250 -1.04555e+07 1.1245e-10
22500 -1.06424e+07 -1.02998e-10
22750 -1.08038e+07 -1.78417e-10
23000 -1.09387e+07 -8.98272e-11
23250 -1.10467e+07 -9.88621e-11
23500 -1.1127e+07 3.09692e-11
23750 -1.11794e+07 -3.83325e-10
24000 -1.12041e+07 -2.0752e-10
24250 -1.12015e+07 -3.61779e-11
24500 -1.11718e+07 -5.52172e-11
24750 -1.11154e+07 6.13481e-11
25000 -1.10339e+07 7.12349e-10
25250 -1.09293e+07 -7.59793e-10
25500 -1.08038e+07 -4.76693e-10
25750 -1.06563e+07 -2.0564e-10
26000 -1.04834e+07 1.50128e-10
26250 -1.02819e+07 2.42017e-12
26500 -1.00518e+07 1.27096e-10
26750 -9.79676e+06 -9.0305e-10
27000 -9.5223e+06 -1.27538e-10
27250 -9.23276e+06 -5.93336e-11
27500 -8.92962e+06 7.44949e-11
27750 -8.61174e+06 -6.64136e-11
28000 -8.27758e+06 2.9164e-10
28250 -7.92741e+06 -1.42099e-11
28500 -7.56406e+06 2.84162e-10
28750 -7.19195e+06 -9.49688e-10
29000 -6.81527e+06 4.24705e-10
29250 -6.43655e+06 -5.98359e-10
29500 -6.05654e+06 -4.64749e-10
29750 -5.67515e+06 -5.79757e-10
30000 -5.29278e+06 -3.07292e-10
30250 -4.91118e+06 -4.8739e-10
30500 -4.53336e+06 -5.79168e-10
30750 -4.16282e+06 -3.44576e-11
31000 -3.80259e+06 6.71698e-11
31250 -3.45471e+06 -1.92563e-10
31500 -3.12026e+06 -1.59914e-10
31750 -2.79993e+06 2.34654e-10
32000 -2.49446e+06 2.92272e-10
32250 -2.20495e+06 1.04945e-10
32500 -1.93278e+06 1.30701e-10
32750 -1.67934e+06 -1.06906e-10
33000 -1.44564e+06 1.23046e-11
33250 -1.23221e+06 -1.30058e-11
33500 -1.03905e+06 -9.62427e-11
33750 -865805 -1.88111e-11
34000 -711907 2.35823e-11
34250 -576704 -1.37425e-11
34500 -459474 -3.01907e-11
34750 -359369 4.46698e-12
35000 -275357 5.74892e-12
35250 -206184 8.46558e-12
35500 -150405 1.07866e-12
35750 -106444 -6.29643e-12
36000 -72683.7 2.0641e-12
36250 -47528.8 -2.00339e-12
36500 -29459.8 -7.80346e-13
36750 -17059.8 3.51747e-13
37000 -9035.79 -4.81805e-13
37250 -4235.21 1.11118e-12
37500 -1661.63 -1.20258e-12
37750 -491.172 -1.81694e-12
38000 -86.363 -6.37101e-13
38250 -4.48851 2.40948e-12
38500 -0.000223606 5.28189e-13
38750 1.51158e-12 6.63931e-13
39000 -7.90578e-13 -7.66818e-13
39250 -1.11504e-12 9.34278e-13
39500 1.83059e-12 -9.49512e-13
39750 -4.28827e-13 7.33962e-13
40000 4.45652e-13 1.35742e-12
40250 -4.37694e-13 8.46967e-13
40500 7.48059e-13 -8.2008e-13
40750 -6.37328e-13 -1.98975e-12
41000 -8.86303e-13 -8.61746e-14
41250 -2.45109e-13 -1.34423e-12
41500 3.91537e-13 9.91349e-13
41750 -1.06047e-12 2.6921e-13
42000 5.89807e-13 4.62251e-13
